ID Number,Food
04053,Olive Oil
09195,Olives
02069,Balsamic Vinegar
02068,Red Wine Vinegar
11282,Onions
11215,Garlic
11362,Potatoes
11007,Artichokes
11477,Zucchini
11783,Eggplant
11860,Squash
20014,Corn
11205,Cucumbers
11090,Broccoli
11762,Cauliflower
11243,Mushrooms
11084,Beets
11124,Carrots
11764,Celery
11921,Peppers
11957,Fennel
11109,Cabbage
11795,Leek
12147,Pine Nuts
12155,Walnuts
12061,Almonds
12167,Chestnuts
12023,Sesame Seeds
12014,Pumpkin Seeds
12036,Sunflower Seeds
12698,Tahini
16370,Lentils
16386,Split Peas
16358,Chickpeas
16145,Kidney Beans
11056,Green Beans
16018,Black Beans
16372,Lima Beans
16343,Pinto Beans
01019,Feta Cheese
01026,Mozzarella
01146,Parmesan
01036,Ricotta
01294,Yogurt
11457,Spinach
11959,Arugula
11251,Lettuce
11233,Kale
11090,Broccoli
11736,Beet Greens
11768,Collard Greens
11207,Dandelion Greens
11799,Mustard Greens
11893,Turnip Greens
13047,Grass Fed Beef
10992,Pork
05676,Chicken
01132,Eggs
11529,Tomatoes
09150,Lemons
09202,Oranges
09114,Grapefruit
09021,Apricots
09501,Apples
09050,Blueberries
09302,Raspberries
09252,Pears
09286,Pomegranate
09038,Avocado
09148,Kiwi
15088,Sardines
15002,Anchovies
15083,Salmon
15092,Sea Bass
15016,Cod
35188,Halibut
15119,Tuna
15165,Mussels
15159,Clams
15271,Shrimp
14209,Coffee
14278,Tea
14099,Wine
11297,Parsley
02027,Oregano
02044,Basil
02045,Dill
02042,Thyme
02038,Sage
02036,Rosemary
02065,Mint
02004,Bay Leaves
02014,Cumin
11216,Ginger
02043,Turmeric
02037,Saffron
02028,Paprika
02010,Cinnamon
02011,Cloves
02031,Cayenne pepper
